Provinsi,2020,2021,2022,2023,2024,Trend_2020_2024,Perubahan_2024_2023,Pangsa_2024,JanSep_2024,JanSep_2025,Perubahan_2025_2024,Pangsa_2025
ACEH,20.1,114.3,91.7,91.2,63.9,23.25,-29.92,0.03,36.8,48.2,30.95,0.03
SUMATERA_UTARA,3682.7,4448.8,4948.7,4632.8,4771.5,5.74,2.99,2.4,3483.6,3490.7,0.2,2.29
SUMATERA_BARAT,94.1,99,93.1,0.2,155.8,-41.31,88686.9,0.08,114,105.6,-7.42,0.07
RIAU,1196.9,1503.2,2725.6,2105.1,1768.2,11.82,-16,0.89,1334.5,1147.9,-13.98,0.75
JAMBI,62.2,29.5,33.8,71.7,46.4,3.08,-35.23,0.02,30,44.2,47.43,0.03
SUMATERA_SELATAN,915.5,897.9,816.2,1123.3,2067.8,20.36,84.09,1.04,1684.2,767.5,-54.43,0.5
BENGKULU,0.2,0,0,0,2.1,0,0,0,0,0,0,0
LAMPUNG,891.4,1384.9,1362,1330.4,1304.1,7.47,-1.97,0.66,976,833.6,-14.6,0.55
KEPULAUAN_BANGKA_BELITUNG,11.5,31.5,72.4,15.3,11.5,-6.98,-24.43,0.01,8,5.3,-33.71,0
KEPULAUAN_RIAU,9792.7,11952.3,13721.4,14792.7,15113.9,11.42,2.17,7.6,10956.7,14631.6,33.54,9.59
DKI_JAKARTA,71433.7,96001.6,106319.1,98924.9,107050.8,8.75,8.21,53.82,77256.5,83145.3,7.62,54.49
JAWA_BARAT,1276.3,1732.3,3336.7,3987.4,3327,31.65,-16.56,1.67,2554.1,1621.1,-36.53,1.06
JAWA_TENGAH,6565,7341.2,7578,7674.7,8505,5.78,10.82,4.28,6154.4,6521.1,5.96,4.27
DI_YOGYAKARTA,17.1,8.7,15.8,8.1,23.9,6.22,196.53,0.01,23.8,0.1,-99.57,0
JAWA_TIMUR,16808,21386.9,24754,23552,23572.4,8.04,0.09,11.85,17097.7,17992.7,5.23,11.79
BANTEN,6305.5,9610.4,10783.3,10366,9158.6,8.57,-11.65,4.6,6989.1,5376.1,-23.08,3.52
BALI,74.9,30.5,70.3,110.1,149.3,30.52,35.69,0.08,108.5,99.4,-8.4,0.07
NUSA_TENGGARA_BARAT,260.4,145.7,204.5,586.2,916,47.81,56.26,0.46,795.8,199.8,-74.9,0.13
NUSA_TENGGARA_TIMUR,9.7,25.6,21.4,63.5,82.3,67.82,29.68,0.04,36.6,9.3,-74.64,0.01
KALIMANTAN_BARAT,391.8,218,230.7,384,657.5,17.37,71.23,0.33,486.6,411.6,-15.42,0.27
KALIMANTAN_TENGAH,18.3,33.5,29,49.8,36.4,19.44,-26.88,0.02,33.5,20.1,-39.87,0.01
KALIMANTAN_SELATAN,127.5,90.1,176.2,224.5,215.9,21.73,-3.82,0.11,147,450.6,206.5,0.3
KALIMANTAN_TIMUR,1085.8,1593.5,1747.1,1491.8,1496,5.92,0.28,0.75,1071.5,888.8,-17.05,0.58
KALIMANTAN_UTARA,83.4,98.1,166.7,679.4,913.6,95.85,34.47,0.46,733.7,692.7,-5.59,0.45
SULAWESI_UTARA,89.7,76.6,48.7,70.5,78.7,-3.41,11.5,0.04,55.3,34.7,-37.22,0.02
SULAWESI_TENGAH,2381.4,7149.6,10351.1,9151.6,10776.6,38.63,17.76,5.42,8046.2,8272.4,2.81,5.42
SULAWESI_SELATAN,696.6,702.6,869.5,909.3,1045.3,11.29,14.95,0.53,739.3,680,-8.01,0.45
SULAWESI_TENGGARA,1348.8,1900.6,2185.5,1162.5,1005.5,-10.23,-13.5,0.51,819.7,544,-33.63,0.36
GORONTALO,38,9.5,14.2,10.7,24,-7.74,123.84,0.01,24,0,0,0
SULAWESI_BARAT,0,0,0,8.2,0,0,0,0,0,0,0,0
MALUKU,0,31,3.5,15,21.4,0,42.34,0.01,17.9,2.8,-84.51,0
MALUKU_UTARA,1435.5,1707.8,3996.3,3155.2,4206.4,31.84,33.32,2.11,2985.5,4383.7,46.83,2.87
PAPUA_BARAT,65,65.7,29.3,16,14.6,-35.56,-8.34,0.01,14.6,13.1,-10.59,0.01
PAPUA,132.3,239.6,234.9,266.1,4.8,-47.95,-98.2,0,4.7,7,47.63,0
