Provinsi,2020,IKP 2020,2021,IKP 2021,2022,IKP 2022,2023,IKP 2023,2024,IKP 2024
Aceh,1757313.07,Tahan,1634639.6,Tahan,1509456.46,Tahan,1404234.82,Tahan,1659966.28,Tahan
Sumatera Utara,2040500.19,Tahan,2004142.51,Tahan,2088583.81,Tahan,2087474.15,Sangat Tahan,2204875.51,Sangat Tahan
Sumatera Barat,1387269.29,Sangat Tahan,1317209.38,Sangat Tahan,1373532.19,Sangat Tahan,1482468.79,Sangat Tahan,1356467.93,Sangat Tahan
Riau,243685.04,Agak Tahan,217458.87,Tahan,213557.23,Tahan,205972.55,Tahan,222055.71,Tahan
Jambi,386413.49,Tahan,298149.25,Tahan,277743.83,Tahan,275941.45,Tahan,281022.05,Sangat Tahan
Sumatera Selatan,2743059.68,Tahan,2552443.19,Tahan,2775069.26,Tahan,2832773.92,Tahan,2909411.67,Tahan
Bengkulu,292834.04,Tahan,271117.19,Tahan,281610.09,Tahan,286684.43,Tahan,272848.55,Tahan
Lampung,2650289.64,Sangat Tahan,2485452.78,Sangat Tahan,2688159.74,Sangat Tahan,2757898.19,Sangat Tahan,2791347.53,Sangat Tahan
Kepulauan Bangka Belitung,57324.32,Tahan,70496.25,Tahan,61425.07,Tahan,66468.89,Tahan,77489.79,Tahan
Kepulauan Riau,852.54,Agak Tahan,855.01,Agak Tahan,506.91,Agak Tahan,324.01,Agak Tahan,305.09,Tahan
DKI Jakarta,4543.93,Sangat Tahan,3249.47,Sangat Tahan,2337.77,Sangat Tahan,2674.28,Sangat Tahan,2306.54,Sangat Tahan
Jawa Barat,9016772.58,Sangat Tahan,9113573.08,Sangat Tahan,9433723.09,Sangat Tahan,9140039.2,Sangat Tahan,8626879.91,Sangat Tahan
Jawa Tengah,9489164.62,Sangat Tahan,9618656.81,Sangat Tahan,9356445.49,Sangat Tahan,9084107.53,Sangat Tahan,8891297.05,Sangat Tahan
DI Yogyakarta,523395.95,Sangat Tahan,556531.03,Sangat Tahan,561699.53,Sangat Tahan,534113.69,Sangat Tahan,452831.77,Sangat Tahan
Jawa Timur,9944538.26,Sangat Tahan,9789587.67,Sangat Tahan,9526515.67,Sangat Tahan,9710661.33,Sangat Tahan,9270435.29,Sangat Tahan
Banten,1655170.09,Tahan,1603247.0,Tahan,1788582.6,Tahan,1686483.29,Sangat Tahan,1550623.46,Sangat Tahan
Bali,532168.45,Sangat Tahan,618910.81,Sangat Tahan,680601.6,Sangat Tahan,673580.65,Sangat Tahan,635473.35,Sangat Tahan
Nusa Tenggara Barat,1317189.81,Sangat Tahan,1419559.84,Sangat Tahan,1452945.47,Sangat Tahan,1538536.92,Sangat Tahan,1453408.37,Sangat Tahan
Nusa Tenggara Timur,725024.3,Tahan,731877.74,Tahan,756049.91,Tahan,766810.46,Tahan,707792.54,Tahan
Kalimantan Barat,778170.36,Tahan,711898.01,Tahan,731225.8,Tahan,700290.8,Tahan,764784.15,Tahan
Kalimantan Tengah,457952.0,Tahan,381189.55,Tahan,343918.75,Tahan,330781.05,Tahan,366146.82,Tahan
Kalimantan Selatan,1150306.66,Sangat Tahan,1016313.55,Sangat Tahan,819419.2,Sangat Tahan,875545.73,Sangat Tahan,1029567.93,Sangat Tahan
Kalimantan Timur,262434.52,Sangat Tahan,244677.96,Sangat Tahan,239425.34,Sangat Tahan,226972.07,Sangat Tahan,249642.9,Sangat Tahan
Kalimantan Utara,33574.28,Tahan,29967.31,Tahan,30533.59,Tahan,23602.0,Sangat Tahan,30079.77,Sangat Tahan
Sulawesi Utara,248879.48,Sangat Tahan,232884.76,Sangat Tahan,243730.28,Tahan,238193.41,Sangat Tahan,273134.94,Sangat Tahan
Sulawesi Tengah,792248.84,Sangat Tahan,867012.77,Sangat Tahan,744408.7,Sangat Tahan,821367.41,Sangat Tahan,761936.39,Sangat Tahan
Sulawesi Selatan,4708464.97,Sangat Tahan,5090637.23,Sangat Tahan,5360169.37,Sangat Tahan,4876386.11,Sangat Tahan,4818429.39,Sangat Tahan
Sulawesi Tenggara,532773.49,Sangat Tahan,530029.08,Sangat Tahan,478958.03,Sangat Tahan,479407.25,Sangat Tahan,555836.08,Sangat Tahan
Gorontalo,227627.2,Sangat Tahan,234392.86,Sangat Tahan,240134.53,Sangat Tahan,251431.76,Sangat Tahan,234862.88,Sangat Tahan
Sulawesi Barat,345050.37,Sangat Tahan,311072.46,Sangat Tahan,353513.29,Tahan,291458.59,Tahan,318876.59,Tahan
Maluku,110447.3,Agak Tahan,116803.67,Agak Tahan,92601.06,Agak Tahan,79958.34,Agak Tahan,91125.35,Agak Tahan
Maluku Utara,43382.85,Agak Tahan,28050.8,Agak Tahan,24486.03,Agak Tahan,26663.23,Agak Tahan,31232.95,Agak Tahan
Papua Barat,24378.33,Agak Rentan,26926.93,Rentan,23963.92,Rentan,22566.81,Rentan,988.64,Agak Rentan
Papua,166002.3,Sangat Rentan,286279.8,Sangat Rentan,193943.47,Rentan,3760.45,Rentan,4609.95,Rentan
