Province,Total_Flood,Total_Drought,Total_Disaster
ACEH,785,76,861
SUMATERA UTARA,637,26,663
SUMATERA BARAT,503,28,531
RIAU,221,20,241
JAMBI,295,54,349
SUMATERA SELATAN,538,28,566
BENGKULU,132,11,143
LAMPUNG,310,69,379
KEPULAUAN BANGKA BELITUNG,38,0,38
KEPULAUAN RIAU,38,0,38
DKI JAKARTA,306,0,306
JAWA BARAT,1567,415,1982
JAWA TENGAH,2207,503,2710
DI YOGYAKARTA,76,50,126
JAWA TIMUR,1672,327,1999
BANTEN,316,79,395
BALI,106,27,133
NUSA TENGGARA BARAT,334,106,440
NUSA TENGGARA TIMUR,267,64,331
KALIMANTAN BARAT,337,12,349
KALIMANTAN TENGAH,295,9,304
KALIMANTAN SELATAN,429,48,477
KALIMANTAN TIMUR,306,14,320
KALIMANTAN UTARA,43,0,43
SULAWESI UTARA,163,0,163
SULAWESI TENGAH,379,8,387
SULAWESI SELATAN,521,169,690
SULAWESI TENGGARA,257,23,280
GORONTALO,195,11,206
SULAWESI BARAT,82,14,96
MALUKU,86,5,91
MALUKU UTARA,89,1,90
PAPUA BARAT,37,0,37
PAPUA,109,2,111
